Season,Conf.,Conf. finish[b],Div.,Div. finish[b],W[c],L[c],Win%,GB,Playoffs,Awards,Head coach,Ref.
1998–99[k],Eastern *,8th ¤,Atlantic,4th,27,23,.540,6,"Won First Round vs. Miami Heat, 3–2Won Conference Semifinals vs. Atlanta Hawks, 4–0Won Conference Finals vs. Indiana Pacers, 4–2Lost Finals to San Antonio Spurs, 4–1[104] *",—,Jeff Van Gundy,[103]
1999–00,Eastern,3rd ¤,Atlantic,2nd,50,32,.610,2,"Won First Round vs. Toronto Raptors, 3–0Won Conference Semifinals vs. Miami Heat, 4–3Lost Conference Finals to Indiana Pacers, 4–2[105]",—,Jeff Van Gundy,[106]
2000–01,Eastern,4th ¤,Atlantic,3rd,48,34,.585,5,"Lost First Round to Toronto Raptors, 3–2[107]",—,Jeff Van Gundy,[108]
2001–02,Eastern,13th,Atlantic,7th,30,52,.366,22,—,—,Jeff Van Gundy  Don Chaney,[109]
2002–03,Eastern,10th,Atlantic,6th[l],37,45,.451,12,—,—,Don Chaney,[110]
2003–04,Eastern,7th ¤,Atlantic,3rd,39,43,.476,8,"Lost First Round to New Jersey Nets, 4–0[111]",—,Don Chaney  Herb Williams  Lenny Wilkens,[112]
2004–05,Eastern,12th,Atlantic,5th[m],33,49,.402,12,—,—,Lenny Wilkens  Herb Williams,[113]
2005–06,Eastern,15th,Atlantic,5th,23,59,.280,26,—,—,Larry Brown,[114]
2006–07,Eastern,12th,Atlantic,4th,33,49,.402,14,—,—,Isiah Thomas,[115]
2007–08,Eastern,14th,Atlantic,5th,23,59,.280,43,—,—,Isiah Thomas,[116]
2008–09,Eastern,14th,Atlantic,5th,32,50,.390,30,—,—,Mike D'Antoni,[117]
2009–10,Eastern,11th,Atlantic,3rd,29,53,.354,21,—,—,Mike D'Antoni,[118]
2010–11,Eastern,6th ¤,Atlantic,2nd,42,40,.512,14,"Lost First Round to Boston Celtics, 4–0[119]",—,Mike D'Antoni,[120]
2011–12[n],Eastern,7th ¤,Atlantic,2nd,36,30,.545,14,"Lost First Round to Miami Heat, 4–1[123]",Tyson Chandler[124] (DPOY),Mike D'Antoni  Mike Woodson,[122]
2012–13,Eastern,2nd ¤,Atlantic ^,1st,54,28,.659,—,"Won First Round vs Boston Celtics, 4–2 Lost Conference Semifinals to Indiana Pacers, 4–2",J. R. Smith[94] (SIX),Mike Woodson,[125]
2013–14,Eastern,9th,Atlantic,3rd,37,45,.451,11,—,—,Mike Woodson,[126]
2014–15,Eastern,15th,Atlantic,5th,17,65,.207,32,—,—,Derek Fisher,[127]
2015–16,Eastern,13th,Atlantic,3rd,32,50,.390,24,—,—,Derek FisherKurt Rambis,[128]
2016–17,Eastern,12th,Atlantic,3rd,31,51,.378,22,—,—,Jeff Hornacek,[129]
2017–18,Eastern,11th,Atlantic,4th,29,53,.354,30,—,—,Jeff Hornacek,[130]
2018–19,Eastern,15th,Atlantic,5th,17,65,.207,43,—,—,David Fizdale,[131]
